key,lastUpdateMoment,step,resolutionPercentage,accepted,draftMode,resolution,key:claim
# base entity
trackingLog-00,2012/07/02 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
# lastUpdateMoment - standard variations
trackingLog-01,2000/01/01 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-02,2000/01/01 0:01,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-03,2024/12/31 23:59,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-04,2025/01/01 0:00,Lorem ipsum dolor sit ame,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
# lastUpdateMoment - no singular values
# step - standard variations
trackingLog-05,2012/07/02 0:00,L,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-06,2012/07/02 0:00,Lo,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-07,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-08,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-09,2012/07/02 0:00,โลเร็ม อิปซัม,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-10,2012/07/02 0:00,لوريم إيبسوم,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-11,2012/07/02 0:00,洛伦·伊普森,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-12,2012/07/02 0:00,<marquee>Hacked</marquee>,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
trackingLog-13,2012/07/02 0:00,<script>alert(‘Hacked!’);</script>,50.00,PENDING,true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut",claim-00
